neighbors,dot,wall,loop,manhatan,path,panic_dist,wall_rate,depth,randomes,probability,Average,Max,Min,WinRate,Time
2,3,2,7,5,7,1,0.1,5,True,0.7,415.4,765,122,0.0,0.08624189580000063
2,3,2,7,5,7,1,0.1,8,True,0.7,249.7,517,102,0.0,1.0107382625000014
2,3,2,7,5,10,1,0.1,3,True,0.7,370.6,720,23,0.0,0.008466245799999684
2,3,2,7,5,10,1,0.1,5,True,0.7,263.1,604,29,0.0,0.042935570900002065
2,3,2,7,5,10,1,0.1,8,True,0.7,306.8,750,33,0.0,1.2566737167000013
2,3,2,7,9,3,1,0.1,3,True,0.7,492.4,867,217,0.0,0.012919445899999004
2,3,2,7,9,3,1,0.1,5,True,0.7,479.1,759,247,0.0,0.0755315749999994
2,3,2,7,9,3,1,0.1,8,True,0.7,416.8,757,242,0.0,1.222584195799999
2,3,2,7,9,7,1,0.1,3,True,0.7,315.2,903,72,0.0,0.00781390829999964
2,3,2,7,9,7,1,0.1,5,True,0.7,332.9,780,56,0.0,0.06350615830000095
2,3,2,7,9,7,1,0.1,8,True,0.7,318.6,608,23,0.0,0.8449707208000035
2,3,2,7,9,10,1,0.1,3,True,0.7,518.8,866,307,0.0,0.012684666699999524
2,3,2,7,9,10,1,0.1,5,True,0.7,390.1,795,31,0.0,0.08619117910000114
2,3,2,7,9,10,1,0.1,8,True,0.7,299.2,762,83,0.0,1.0197504958000025
2,3,2,7,15,3,1,0.1,3,True,0.7,350.1,662,37,0.0,0.01025202089999766
2,3,2,7,15,3,1,0.1,5,True,0.7,377.8,725,86,0.0,0.07789172079999958
2,3,2,7,15,3,1,0.1,8,True,0.7,356.0,715,31,0.0,1.1716739000000018
2,3,2,7,15,7,1,0.1,3,True,0.7,320.2,801,50,0.0,0.012512883400000873
2,3,2,7,15,7,1,0.1,5,True,0.7,264.0,564,31,0.0,0.03826248749999763
2,3,2,7,15,7,1,0.1,8,True,0.7,333.4,674,15,0.0,1.0090158083000005
2,3,2,7,15,10,1,0.1,3,True,0.7,457.7,901,39,0.0,0.011242637499998409
2,3,2,7,15,10,1,0.1,5,True,0.7,348.0,872,55,0.0,0.057375737499995694
2,3,2,7,15,10,1,0.1,8,True,0.7,365.7,729,27,0.0,1.1320795499999974
2,3,6,7,5,3,1,0.1,3,True,0.7,498.7,794,233,0.0,0.012877912499999412
2,3,6,7,5,3,1,0.1,5,True,0.7,374.3,699,130,0.0,0.0632291958000053
2,3,6,7,5,3,1,0.1,8,True,0.7,233.0,847,30,0.0,0.8309088833999965
2,3,6,7,5,7,1,0.1,3,True,0.7,427.3,809,72,0.0,0.011431970799998225
2,3,6,7,5,7,1,0.1,5,True,0.7,469.3,669,249,0.0,0.07724093749999952
2,3,6,7,5,7,1,0.1,8,True,0.7,325.5,618,53,0.0,0.9729122708000034
2,3,6,7,5,10,1,0.1,3,True,0.7,349.5,852,55,0.0,0.009384587499999953
2,3,6,7,5,10,1,0.1,5,True,0.7,428.5,614,173,0.0,0.07578208330000394
2,3,6,7,5,10,1,0.1,8,True,0.7,365.5,810,75,0.0,1.0928453208000009
2,3,6,7,9,3,1,0.1,3,True,0.7,489.5,869,222,0.0,0.013796695900003897
2,3,6,7,9,3,1,0.1,5,True,0.7,299.2,687,77,0.0,0.04681384579999985
2,3,6,7,9,3,1,0.1,8,True,0.7,215.5,593,15,0.0,0.9562585750000039
2,3,6,7,9,7,1,0.1,3,True,0.7,382.7,893,46,0.0,0.008950575000000072
2,3,6,7,9,7,1,0.1,5,True,0.7,265.6,711,62,0.0,0.04616857500000151
2,3,6,7,9,7,1,0.1,8,True,0.7,263.2,864,37,0.0,0.7863685207999993
2,3,6,7,9,10,1,0.1,3,True,0.7,387.7,706,48,0.0,0.008037583399999448
2,3,6,7,9,10,1,0.1,5,True,0.7,386.1,713,76,0.0,0.06572542090000297
2,3,6,7,9,10,1,0.1,8,True,0.7,296.8,721,60,0.0,2.0221383000000004
2,3,6,7,15,3,1,0.1,3,True,0.7,364.7,700,39,0.0,0.010988375000005135
2,3,6,7,15,3,1,0.1,5,True,0.7,475.0,816,139,0.0,0.10225832920000358
2,3,6,7,15,3,1,0.1,8,True,0.7,431.5,741,166,0.0,1.7232798249999974
2,3,6,7,15,7,1,0.1,3,True,0.7,347.8,590,68,0.0,0.008734079099997415
2,3,6,7,15,7,1,0.1,5,True,0.7,306.8,502,48,0.0,0.04386067909999838
2,3,6,7,15,7,1,0.1,8,True,0.7,300.6,642,23,0.0,1.072614012500003
2,3,6,7,15,10,1,0.1,3,True,0.7,443.8,840,71,0.0,0.011638816599997881
2,3,6,7,15,10,1,0.1,5,True,0.7,335.4,682,51,0.0,0.05385091670000293
2,3,6,7,15,10,1,0.1,8,True,0.7,314.5,722,111,0.0,1.0705006459000004
2,7,2,3,5,3,1,0.1,3,True,0.7,484.1,826,162,0.0,0.011032779100003155
2,7,2,3,5,3,1,0.1,5,True,0.7,280.6,639,41,0.0,0.037349349999999504
2,7,2,3,5,3,1,0.1,8,True,0.7,492.7,732,171,0.0,1.9231355000000008
2,7,2,3,5,7,1,0.1,3,True,0.7,378.0,776,22,0.0,0.008905674999999747
2,7,2,3,5,7,1,0.1,5,True,0.7,296.8,589,88,0.0,0.04719767089999891
